year,brand,model,fileName,released,type,bodystyle,storage,seats,drive,kwh,range,engine,displacement,hp,tq,zeroToSixty,weight,fuelEcon,lowestPrice,avgLow,msrp,price2018Oct,price2018Nov,price2018Dec,price2019Jan,price2019Feb,price2019Mar,price2019April,price2019May
2017,Audi,A3 e-Tron,2017a3etron.jpg,Y,PHEV,Hatch,14,5,FWD,8.8,32,I4,1.4,201,243,7.6,1615,2.5,30500,32764,40900,35500,33500,32500,32500,30500,30500,34409,32700
2014,BMW,i3 REX,bmwi3.jpg,Y,PHEV,Hatch,15,4,RWD,22,116,I3,0.65,178,181,7,1315,1.5,22499,23736,48950,24900,23900,23000,24988,23597,24000,22499,23000
2017,BMW,i3 REX,bmwi3.jpg,Y,PHEV,Hatch,15,4,RWD,33,160,I3,0.65,178,181,7,1448,1.5,30995,37822,52150,39900,38900,34000,33900,37990,48900,37990,30995
2017,BMW,330e,bmw330e.jpg,Y,PHEV,Sedan,13,5,RWD,7.6,23,I4,2.0,248,310,5.8,1806,6.1,32988,36696,52100,N/A,N/A,38900,38900,N/A,N/A,35995,32988
2018,BMW,i3s REX,bmwi3s.jpg,Y,PHEV,Hatch,15,4,RWD,33,160,I3,0.65,184,199,6.5,1496,1.5,44889,57022,66646,58900,61499,61499,61499,61499,61499,44889,44889
2014,BMW,i8,bmwi8.jpg,Y,PHEV,Hatch,5,4,AWD,7.1,25,I3,1.5,357,420,4.2,1485,6.4,77677,82263,145000,89850,86900,82900,84500,79600,78978,77699,77677
2014,Cadillac,ELR,cadillacelr.jpg,Y,PHEV,Coupe,10.5,4,FWD,16.5,60,I4,1.4,217,295,7.8,1846,3.2,35400,37912,78250,N/A,N/A,N/A,N/A,40937,N/A,37400,35400
2016,Cadillac,ELR,cadillacelr.jpg,Y,PHEV,Coupe,10.5,4,FWD,17.1,63,I4,1.4,233,373,6.3,1846,3.2,59995,62498,74045,N/A,N/A,65000,65000,N/A,N/A,59996,59995
2012,Chevrolet,Volt,chevroletvoltgen1.jpg,Y,PHEV,Hatch,11,4,FWD,16,56,I4,1.4,149,273,8.8,1721,2.7,11000,13203,48500,15600,17500,13250,11700,12488,11989,12100,11000
2014,Chevrolet,Spark EV,chevroletsparkev.jpg,Y,BEV,Hatch,9.6,4,FWD,21.3,131,,,140,400,7.9,1356,,11996,12877,34000,N/A,N/A,13500,12977,14999,11996,11894,11894
2015,Chevrolet,Spark EV,chevroletsparkev.jpg,Y,BEV,Hatch,9.6,4,FWD,19,131,,,140,400,7.9,1356,,12990,13839,34000,N/A,N/A,14600,13488,14998,13970,12990,12990
2015,Chevrolet,Volt,chevroletvoltgen1.jpg,Y,PHEV,Hatch,11,4,FWD,17.1,61,I4,1.4,149,273,8.8,1715,2.5,13888,16769,36850,19995,19000,18500,17000,15888,13888,13888,15994
2017,Chevrolet,Volt,chevroletvoltgen2.jpg,Y,PHEV,Hatch,11,4,FWD,18.4,85,I4,1.4,149,294,7.5,1607,2.4,22388,25146,38390,27998,25600,26995,25995,25499,24200,22388,22495
2017,Chevrolet,Bolt EV,chevroletboltev.jpeg,Y,BEV,Hatch,17,5,FWD,60,383,,,200,266,6.5,1616,,29999,34163,44495,39836,41000,34997,35675,30900,30900,29999,29999
2017,Chrysler,Pacifica Hybrid,pacificahybrid.jpg,Y,PHEV,Minivan,32,7,FWD,16,53,V6,3.6,260,262,7.8,2324,3.6,39998,43427,56500,N/A,N/A,44873,44873,44773,40995,39998,45050
2015,Fiat,500e,fiat500e.jpg,Y,BEV,Hatch,7,4,FWD,24,140,,,111,147,8.4,1351,,12977,15235,33990,15800,14800,14800,12977,16995,15000,14972,16536
2012,Fisker,Karma,fiskerkarma.jpg,Y,PHEV,Sedan,7,4,RWD,20.1,51,I4,2.0,403,960,6.3,2400,9.8,38888,47320,103000,48500,48500,49000,47899,45999,38888,49888,49888
2012,Ford,Focus Electric,focusev.jpg,Y,BEV,Hatch,14,5,FWD,23,122,,,143,181,9.9,1651,,9995,11813,31999,N/A,N/A,9995,9995,13999,11995,11000,13895
2013,Ford,C-Max Energi,cmaxenergi.jpg,Y,PHEV,Hatch,19.2,5,FWD,7.6,32,I4,2.0,188,128,8.5,1768,4,10995,11497,36999,N/A,N/A,11500,11500,12500,11490,10995,10995
2015,Ford,C-Max Energi,cmaxenergi.jpg,Y,PHEV,Hatch,19.2,5,FWD,7.6,32,I4,2.0,188,128,8.5,1768,4,14995,15539,29849,N/A,N/A,15850,15995,15700,15700,14995,14995
2014,Ford,Fusion Energi,fusionenergi.jpg,Y,PHEV,Sedan,8.2,5,FWD,7.6,33,I4,2.0,188,129,7.9,1805,4,15490,15891,38399,N/A,N/A,15490,15490,16556,15995,15812,16000
2016,Ford,Focus Electric,focusev.jpg,Y,BEV,Hatch,14,5,FWD,23,122,,,143,181,9.9,1651,,18495,18494,31999,N/A,N/A,19000,18495,18991,18499,17990,17990
2017,Ford,C-Max Energi,cmaxenergi.jpg,Y,PHEV,Hatch,19.2,5,FWD,7.6,32,I4,2.0,188,128,8.5,1768,4,18499,21589,29829,N/A,N/A,22900,23740,21900,18499,21495,20999
2017,Ford,Fusion Energi,fusionenergi.jpg,Y,PHEV,Sedan,8.2,5,FWD,7.6,33,I4,2.0,195,129,7.9,1805,4,19991,20660,37288,N/A,N/A,21998,21998,19991,19991,19991,19991
